1.7385,1.6502,1.6304,1.5519,1.6284,1.3966,1.6524,1.1723,1.7021,0.6897,1.7112,1.7866
1.7076,1.6474,1.5331,1.6285,1.5469,1.5113,1.5869,1.5742,1.5724,1.663,1.743,1.7622
1.6936,1.6041,1.6259,1.5429,1.5509,1.5087,1.6219,1.6072,1.5996,1.6688,,
1.5863,1.6916,1.5496,1.6353,1.5845,1.3449,1.5793,1.4897,1.674,1.6086,,
1.6946,1.7034,1.6535,1.6692,1.5703,0.9533,1.6288,1.5503,1.6561,1.655,,
0.8957,1.6497,1.4602,1.6685,1.1049,0.9828,1.0363,1.5824,0.9468,0.34,,
1.7326,1.6195,1.6841,1.6048,1.6617,0.8341,1.6382,1.6411,1.5897,0.0994,,
0.9585,1.6827,0.916,1.6273,1.6283,1.6429,1.6708,1.6927,1.6187,1.6781,,
1.6892,1.5985,1.5849,1.6236,1.6091,1.3615,1.5957,1.5494,1.5843,1.6551,,
1.5274,1.6173,1.5327,1.4636,1.5137,0.9951,0.1061,1.475,1.5118,1.5549,,
,,,,,,,,,,,
,,,,,,,,,,,
1.6859,1.6284,1.5985,1.5524,1.6113,1.4584,1.5947,1.1627,1.6232,0.5976,1.6652,1.757
1.6206,1.5787,1.4838,1.5761,1.4926,1.3902,1.536,1.4925,1.4821,1.5579,1.5784,1.7089
1.569,1.5041,1.4787,1.4466,1.4448,1.1767,1.5055,1.4973,1.5031,1.5356,,
1.5444,1.5527,1.425,1.5096,1.491,1.4447,1.4712,1.4905,1.4857,1.4967,,
1.6007,1.5546,1.4652,1.5534,1.4633,0.8594,1.5363,1.4762,1.5893,1.5955,,
0.6784,1.5847,1.0045,1.5163,1.1818,1.0941,1.0617,1.4813,1.3071,1.21,,
1.6182,1.5154,1.4928,1.5746,1.5107,1.1736,1.5521,1.5616,1.524,0.1066,,
1.0578,1.6504,1.0194,1.5353,1.5747,1.4594,1.6138,1.5247,1.5612,1.6644,,
1.72,1.5643,1.5151,1.5301,1.4875,1.0471,1.4453,1.4823,1.4678,1.5208,,
1.5036,1.5677,1.5844,1.4512,1.5179,1.1001,0.1031,1.4657,1.5723,1.6002,,
,,,,,,,,,,,
,,,,,,,,,,,
1.6461,1.6021,1.5672,1.5127,1.5585,1.0905,1.6107,1.2403,1.6295,0.3269,1.6719,1.7289
1.6249,1.5644,1.4337,1.5835,1.4967,1.4564,1.6003,1.5151,1.4935,1.5717,1.5306,1.6308
1.5635,1.5167,1.5063,1.4293,1.4563,1.1167,1.5286,1.4719,1.5025,1.5471,,
1.512,1.5369,1.4132,1.4891,1.4676,1.0387,1.4345,1.4168,1.4895,1.4692,,
1.6119,1.551,1.465,1.552,1.4498,0.392,1.5234,1.4617,1.5469,1.5609,,
0.6534,1.5634,1.241,1.5199,0.8118,0.7802,0.7893,1.4508,0.9385,0.3162,,
1.5969,1.5283,1.505,1.5593,1.4978,0.7957,1.5125,1.5291,1.4845,0.1046,,
1.0819,1.6005,1.1388,1.5861,1.5534,1.5517,1.6398,1.6167,1.5843,1.635,,
1.7014,1.6089,1.6515,1.6395,1.6361,1.4957,1.6624,1.563,1.6841,1.6662,,
1.4,1.6161,1.6044,1.5244,1.5969,1.024,0.104,1.6035,1.6643,1.6573,,
,,,,,,,,,,,
,,,,,,,,,,,
1.6803,1.63,1.6134,1.539,1.5799,1.0811,1.5895,1.1141,1.6179,0.3143,1.6632,1.7244
1.6057,1.5433,1.4732,1.5581,1.4942,1.3332,1.4805,1.5034,1.4821,1.5585,1.5634,1.6799
1.5314,1.4884,1.4814,1.4303,1.4333,1.2106,1.5183,1.488,1.4805,1.5269,,
1.5217,1.5349,1.4359,1.5182,1.4881,1.3934,1.4769,1.477,1.4789,1.4595,,
1.5802,1.5276,1.446,1.5355,1.4695,0.4838,1.5939,1.4581,1.556,1.5699,,
0.3963,1.4966,0.8014,1.5241,1.1715,0.9816,1.1056,1.4918,0.9993,0.6134,,
1.5984,1.4958,1.4711,1.543,1.4811,0.7219,1.5369,1.5365,1.5176,0.1046,,
1.0955,1.6021,1.0252,1.506,1.5347,1.1518,1.5953,1.5166,1.5512,1.636,,
1.7066,1.6136,1.7078,1.6593,1.6077,1.0427,1.5371,1.5318,1.6207,1.7317,,
1.5077,1.7097,1.7166,1.5501,1.5839,1.1583,0.1008,1.5657,1.7511,1.7376,,
